Label,Link,Fridge,Freezer,Pantry
LEMON JUICE — FRESHLY SQUEEZED,https://www.stilltasty.com/Fooditems/index/17533,2-3 days,3-4 months (best quality),
"LEMON JUICE, SOLD UNREFRIGERATED  IN PLASTIC BOTTLE OR LEMON-SHAPED CONTAINER, CONTAINING PRESERVATIVES - OPENED",https://www.stilltasty.com/Fooditems/index/17535,12-18 months (best quality),,
"LEMON JUICE, SOLD UNREFRIGERATED  IN PLASTIC BOTTLE OR LEMON-SHAPED CONTAINER, CONTAINING PRESERVATIVES - UNOPENED",https://www.stilltasty.com/Fooditems/index/17536,,,12-18 months (best quality)
"LEMON PEEL, CANDIED — UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/17538,,,18 months
LEMONADE - COMMERCIALLY FROZEN CONCENTRATE,https://www.stilltasty.com/Fooditems/index/17532,5-7 days after prepared for drinking,1 year (best quality),
"LEMONADE, SOLD IN REFRIGERATED CARTON - UNOPENED",https://www.stilltasty.com/Fooditems/index/17543,1 week after date on package,8-12 months,
"LEMONADE, SOLD IN REFRIGERATED CARTON — OPENED",https://www.stilltasty.com/Fooditems/index/17542,7-10 days,8-12 months,
"LEMONS - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/17544,3-4 days,3-4 months,
"LEMONS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/17545,3-4 weeks,3-4 months,1 week
LIME JUICE — FRESHLY SQUEEZED,https://www.stilltasty.com/Fooditems/index/17571,2-3 days,3-4 months,
"LIME JUICE, SOLD UNREFRIGERATED  IN PLASTIC BOTTLE OR LIME-SHAPED CONTAINER, CONTAINING PRESERVATIVES - UNOPENED",https://www.stilltasty.com/Fooditems/index/18911,,,12-18 months (best quality)
"LIME JUICE, SOLD UNREFRIGERATED IN PLASTIC BOTTLE OR LIME-SHAPED CONTAINER, CONTAINING PRESERVATIVES - OPENED",https://www.stilltasty.com/Fooditems/index/17572,12-18 months (best quality),,
"LIMES - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/17577,3-4 days,3-4 months,
"LIMES - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/17578,3-4 weeks,3-4 months,1 week
"LITCHIS (LYCHEES) — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17585,5-7 days,10-12 months,
"LITCHIS (LYCHEES), DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18832,6-12 months,12-18 months,6-12 months
LOGANBERRIES — COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/17599,,1 year (best quality),
"MANGO NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/17630,5-7 days,8-12 months,
"MANGO NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17631,,8-12 months,12-18 months
"MANGO, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18834,6-12 months,12-18 months,6-12 months
MANGO- COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/19109,,1 year,
"MANGOS (MANGOES) — FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/17634,3-4 days,10-12 months,
"MANGOS (MANGOES) - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/17635,5-7 days once ripe,10-12 months,2-5 days or until ripe
"MARASCHINO CHERRIES, COMMERCIALLY CANNED OR BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/17645,6-12 months,,1-2 months
"MARASCHINO CHERRIES, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17646,,,3 years (best quality)
MELON BALLS — COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/17677,,1 year (best quality),
MIXED BERRIES - COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/19105,,1 year,
MIXED FRUIT - COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/19106,,1 year,
"MIXED FRUIT, CANDIED — UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/17705,,,12 months
"MIXED FRUIT, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18835,6-12 months,12-18 months,6-12 months
"MIXED FRUIT- FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/19112,3-5 days,10-12 months,
"NECTARINES — FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/17772,3-4 days,10-12 months,
"NECTARINES - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/17773,3-5 days once ripe,10-12 months,2-3 days or until ripe
"OLIVES, GREEN OR BLACK (ALL TYPES, INCLUDING PIMIENTO-STUFFED, KALAMATA, PITTED, MANZANILLA), COMMERCIALLY CANNED OR BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/17821,18-24 months (best quality),,
"OLIVES, GREEN OR BLACK (ALL TYPES, INCLUDING PIMIENTO-STUFFED, KALAMATA, PITTED, MANZANILLA), COMMERCIALLY CANNED OR BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/17822,,,2-3 years (best quality)
"OLIVES, LOOSE, IN OIL - SOLD AT GROCERY DELI COUNTER OR FOOD BAR",https://www.stilltasty.com/Fooditems/index/17823,1-2 months (best quality),,
ORANGE JUICE - COMMERCIALLY FROZEN CONCENTRATE,https://www.stilltasty.com/Fooditems/index/17832,5-7 days after prepared for drinking,1 year (best quality),
ORANGE JUICE — FRESHLY SQUEEZED,https://www.stilltasty.com/Fooditems/index/17833,2-3 days,3-4 months,
"ORANGE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/17834,5-7 days,8-12 months,
"ORANGE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17835,,8-12 months,12-18 months
"ORANGE JUICE, SOLD IN REFRIGERATED CARTON OR BOTTLE - UNOPENED",https://www.stilltasty.com/Fooditems/index/17837,1 week after date on package,8-12 months,
"ORANGE JUICE, SOLD IN REFRIGERATED CARTON OR BOTTLE — OPENED",https://www.stilltasty.com/Fooditems/index/17836,7-10 days,8-12 months,
"ORANGE PEEL, CANDIED — UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/17839,,,18 months
APPLE JUICE - COMMERCIALLY FROZEN CONCENTRATE,https://www.stilltasty.com/Fooditems/index/16371,5-7 days after prepared for drinking,1 year (best quality),
"APPLE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - OPENED ",https://www.stilltasty.com/Fooditems/index/16372,7-10 days,8-12 months,
"APPLE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16373,,8-12 months,18-24 months (best quality)
"APPLE JUICE, SOLD IN REFRIGERATED CONTAINER - OPENED",https://www.stilltasty.com/Fooditems/index/16374,7-10 days,8-12 months (best quality),
"APPLE JUICE, SOLD IN REFRIGERATED CONTAINER - UNOPENED",https://www.stilltasty.com/Fooditems/index/16375,1 week after date on package,8-12 months (best quality),
APPLES -  COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16381,,1 year (best quality),
"APPLES - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/16382,3-4 days,10-12 months,
"APPLES - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16383,1-2 months,10-12 months,5-7 days
"APPLES, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18822,6-12 months,12-18 months,6-12 months
"APPLESAUCE, COMMERCIALLY BOTTLED OR PACKAGED, SOLD UNREFRIGERATED - OPENED ",https://www.stilltasty.com/Fooditems/index/16388,1-2 weeks,1-2 months,
"APPLESAUCE, COMMERCIALLY BOTTLED OR PACKAGED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16389,,1-2 months,12-18 months
"APRICOT NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/16392,5-7 days,8-12 months,
"APRICOT NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16393,,8-12 months,12-18 months
"APRICOTS — FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/16401,3-4 days,10-12 months,
"APRICOTS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16402,4-5 days once ripe,10-12 months,1-3 days or until ripe
