Label,Link,Fridge,Freezer,Pantry
"APRICOTS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16402,4,330,2
APRICOTS — COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16400,,365,
"APRICOTS, CANDIED — UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/16403,,,360
"APRICOTS, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18823,270,450,270
"AVOCADOS - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/16426,3,120,
"AVOCADOS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16427,4,120,5
"BANANAS - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/16450,3,60,
"BANANAS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16451,6,60,3
"BANANAS, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18824,270,450,270
"BLACKBERRIES - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16549,2,330,
BLACKBERRIES — COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16548,,365,
"ORANGES - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/17844,3,330,
"ORANGES - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/17845,21,330,6
"PAPAYA NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/17869,,300,450
"PAPAYA NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/17868,6,300,
"PAPAYAS — FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/17870,3,330,
"PAPAYAS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/17871,6,330,3
"PASSION FRUIT (GRANADILLA) - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/17886,6,210,3
"PEACH NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/17909,6,300,
"PEACH NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17910,,300,450
PEACHES - COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/19110,,365,
"PEACHES - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/17917,3,330,
"PEACHES - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/17918,4,330,2
"PEACHES, COMMERCIALLY CANNED OR BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/17919,6,30,
"PEACHES, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17920,,,630
"PEACHES, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18836,270,450,270
