Label,Fridge,Freezer,Pantry
"SNOW PEAS - FRESH, COOKED",4,330,
"SNOW PEAS - FRESH, RAW",3,330,
"SORREL — FRESH, RAW",1,330,
SPINACH - COMMERCIALLY FROZEN,,330,
"SPINACH - FRESH, COOKED",4,330,
"SPINACH - FRESH, RAW, LOOSE ",6,330,
"SPINACH, COMMERCIALLY CANNED OR BOTTLED — OPENED",3,30,
"SPINACH, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",,,1460
"SPINACH, FRESH, COMMERCIALLY BAGGED AND PREWASHED - OPENED BAG",4,330,
"SPINACH, FRESH, COMMERCIALLY BAGGED AND PREWASHED - UNOPENED BAG",8,330,
SQUASH - COMMERCIALLY FROZEN,,330,
SQUASH SOUP — HOMEMADE,3,150,
"SQUASH, COMMERCIALLY CANNED OR BOTTLED (INCLUDING ZUCCHINI, CROOKNECK, SCALLOP, PATTY PAN) — OPENED",3,30,
"SQUASH, COMMERCIALLY CANNED OR BOTTLED (INCLUDING ZUCCHINI, CROOKNECK, SCALLOP, PATTY PAN) — UNOPENED",,,1460
"SQUASH, SUMMER (INCLUDING ZUCCHINI, CROOKNECK, SCALLOP, PATTY PAN) — FRESH, RAW, SLICED OR CHOPPED",2,330,
"SQUASH, SUMMER (INCLUDING ZUCCHINI, CROOKNECK, SCALLOP, PATTY PAN) - FRESH, COOKED",4,330,
"SQUASH, WINTER (INCLUDING ACORN, HUBBARD, BUTTERNUT, SPAGHETTI) — FRESH, RAW, SLICED OR CHOPPED",3,330,
"SQUASH, WINTER (INCLUDING ACORN, HUBBARD, BUTTERNUT, SPAGHETTI) - FRESH, COOKED",4,330,
"SQUASH, WINTER (INCLUDING ACORN, HUBBARD, BUTTERNUT, SPAGHETTI) - FRESH, RAW, WHOLE",,330,30
"ALFALFA SPROUTS - FRESH, RAW",2,,
ANCHO PEPPERS (DRIED POBLANOS) — WHOLE,,,365
ARTICHOKES - COMMERCIALLY FROZEN,,330,
"ARTICHOKES - FRESH, COOKED",4,330,
"ARTICHOKES - FRESH, RAW ",6,330,
"ARTICHOKES, COMMERCIALLY CANNED OR BOTTLED - OPENED",3,30,
"ARTICHOKES, COMMERCIALLY CANNED OR BOTTLED - UNOPENED",,,1460
"ARUGULA (ROCKET) — FRESH, RAW",2,,
ASPARAGUS - COMMERCIALLY FROZEN ,,330,
"ASPARAGUS - FRESH, COOKED ",4,330,
"ASPARAGUS - FRESH, RAW",3,450,
